Date,sentiment_mean,sentiment_median,sentiment_std,n_news,pos_ratio,neg_ratio,neu_ratio
2010-10-01,0.6408325433731079,0.6408325433731079,,1,1.0,0.0,0.0
2010-10-04,0.0,0.0,,1,0.0,0.0,1.0
2010-10-08,0.0,0.0,,1,0.0,0.0,1.0
2010-10-12,0.14268359541893005,0.14268359541893005,1.1379767530585705,2,0.5,0.5,0.0
2010-10-13,0.4997975528240204,0.4997975528240204,0.706820477644613,2,0.5,0.0,0.5
2010-10-14,0.0,0.0,0.0,2,0.0,0.0,1.0
2010-10-19,0.0,0.0,0.0,4,0.0,0.0,1.0
2010-10-20,0.0,0.0,,1,0.0,0.0,1.0
2010-10-22,0.0,0.0,,1,0.0,0.0,1.0
2010-10-26,0.0,0.0,,1,0.0,0.0,1.0
2010-10-29,0.0,0.0,,1,0.0,0.0,1.0
2010-11-02,0.0,0.0,,1,0.0,0.0,1.0
2010-11-04,0.0,0.0,,1,0.0,0.0,1.0
2010-11-05,-0.9999972581863403,-0.9999972581863403,,1,0.0,1.0,0.0
2010-11-08,0.0,0.0,0.0,2,0.0,0.0,1.0
2010-11-10,0.0,0.0,0.0,2,0.0,0.0,1.0
2010-11-11,0.0,0.0,,1,0.0,0.0,1.0
2010-11-12,0.0,0.0,,1,0.0,0.0,1.0
2010-11-15,-0.3214130202929179,0.0,0.5567036813615004,3,0.0,0.3333333333333333,0.6666666666666666
2010-11-18,0.0,0.0,0.0,2,0.0,0.0,1.0
2010-11-22,0.0,0.0,0.0,2,0.0,0.0,1.0
2010-11-23,0.0,0.0,,1,0.0,0.0,1.0
2010-11-24,0.9999631643295288,0.9999631643295288,,1,1.0,0.0,0.0
2010-11-26,0.0,0.0,,1,0.0,0.0,1.0
2010-11-29,0.0,0.0,0.0,2,0.0,0.0,1.0
2010-11-30,0.0,0.0,,1,0.0,0.0,1.0
2010-12-02,0.9999984502792358,0.9999984502792358,,1,1.0,0.0,0.0
2010-12-03,-0.994762122631073,-0.994762122631073,,1,0.0,1.0,0.0
2010-12-09,1.0,1.0,,1,1.0,0.0,0.0
2010-12-10,0.0756584107875824,0.0,0.6920691763007746,4,0.25,0.25,0.5
2010-12-13,-0.017324358224868774,-0.017324358224868774,1.3884574968075423,2,0.5,0.5,0.0
2010-12-14,0.9999692440032959,0.9999692440032959,,1,1.0,0.0,0.0
2010-12-16,0.0,0.0,,1,0.0,0.0,1.0
2010-12-17,0.0,0.0,,1,0.0,0.0,1.0
2010-12-20,0.0,0.0,,1,0.0,0.0,1.0
2010-12-22,0.0,0.0,0.0,2,0.0,0.0,1.0
2010-12-23,0.9938687682151794,0.9938687682151794,,1,1.0,0.0,0.0
2010-12-30,0.8328561782836914,0.8328561782836914,,1,1.0,0.0,0.0
2010-12-31,0.1762419581413269,0.0,0.8089921290853149,5,0.4,0.2,0.4
2011-01-03,0.0,0.0,0.0,2,0.0,0.0,1.0
2011-01-04,0.3333323796590169,0.0,0.577348617377256,3,0.3333333333333333,0.0,0.6666666666666666
2011-01-05,0.0,0.0,,1,0.0,0.0,1.0
2011-01-06,0.49967607855796814,0.49967607855796814,0.7066486870900827,2,0.5,0.0,0.5
2011-01-11,1.0,1.0,,1,1.0,0.0,0.0
2011-01-12,-0.4998951852321625,-0.4998951852321625,0.7069585507203348,2,0.0,0.5,0.5
2011-01-13,0.4999998211860657,0.4999998211860657,0.7071065283054565,2,0.5,0.0,0.5
2011-01-14,0.999997615814209,0.999997615814209,,1,1.0,0.0,0.0
2011-01-18,0.7797436714172363,0.7797436714172363,,1,1.0,0.0,0.0
2011-01-19,0.0,0.0,,1,0.0,0.0,1.0
2011-01-20,0.0,0.0,0.0,2,0.0,0.0,1.0
2011-01-21,-0.49983638525009155,-0.49983638525009155,0.7068753949882227,2,0.0,0.5,0.5
2011-01-24,0.9575200080871582,0.9575200080871582,,1,1.0,0.0,0.0
2011-01-26,0.0,0.0,,1,0.0,0.0,1.0
2011-01-28,-0.2859921058019002,0.0,0.4953528578125051,3,0.0,0.3333333333333333,0.6666666666666666
